"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6493","viewMyTournamentsHistory()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.UserStory17SelenideTest","iscteiul.ista.blackbattleship.selenide.UserStory17SelenideTest","viewMyTournamentsHistory"
"","4365","accessGruppoPlan()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.UserStory8SelenideTest","iscteiul.ista.blackbattleship.selenide.UserStory8SelenideTest","accessGruppoPlan"
"","3712","accessPlusPlan()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.UserStory8SelenideTest","iscteiul.ista.blackbattleship.selenide.UserStory8SelenideTest","accessPlusPlan"
"","4235","viewProfileStats()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.UserStory13SelenideTest","iscteiul.ista.blackbattleship.selenide.UserStory13SelenideTest","viewProfileStats"
"","4407","accessBoostersShop()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.UserStory12SelenideTest","iscteiul.ista.blackbattleship.selenide.UserStory12SelenideTest","accessBoostersShop"
